epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,31210.2,0.77799,1.02109,1.36448,0.88373,0.31999,0.62262,0.39387,0.33687,0.31999,0.62262,0.39387,0.22797,0.635,0.73238,1.69639,0.80028,0.000371185,0.000371185,0.000371185
58,31811.7,0.77482,1.00488,1.34287,0.88979,0.33136,0.63522,0.39585,0.33637,0.33136,0.63522,0.39585,0.22156,0.63925,0.73718,1.71952,0.80092,0.000362938,0.000362938,0.000362938
39,794.254,0.80952,1.04169,1.46014,0.88688,0.28023,0.58936,0.39526,0.33366,0.28023,0.58936,0.39526,0.23482,0.6607,0.75789,1.88287,0.80254,0.000519625,0.000519625,0.000519625
40,1557.59,0.80326,1.02849,1.45478,0.88716,0.30228,0.63839,0.4008,0.33969,0.30228,0.63839,0.4008,0.23702,0.64648,0.74388,1.7404,0.80055,0.000511379,0.000511379,0.000511379
41,2151.58,0.79388,1.00967,1.37628,0.88992,0.29669,0.62909,0.3888,0.33127,0.29669,0.62909,0.3888,0.22526,0.63779,0.73486,1.71741,0.79959,0.000503132,0.000503132,0.000503132
42,2649.84,0.78754,1.01747,1.35236,0.88953,0.30496,0.62141,0.38497,0.32879,0.30496,0.62141,0.38497,0.22299,0.64416,0.74628,1.72367,0.80032,0.000494885,0.000494885,0.000494885
43,3147.41,0.8102,1.0331,1.40478,0.88748,0.29265,0.6433,0.3761,0.31818,0.29265,0.6433,0.3761,0.21586,0.6516,0.76251,1.73797,0.80242,0.000486639,0.000486639,0.000486639
44,3648.73,0.78999,1.05128,1.36176,0.88581,0.31008,0.64189,0.38466,0.32728,0.31008,0.64189,0.38466,0.22386,0.64504,0.76437,1.7862,0.80086,0.000478392,0.000478392,0.000478392
45,4160.09,0.78252,0.99339,1.37958,0.89121,0.31854,0.62497,0.39719,0.33988,0.31854,0.62497,0.39719,0.23553,0.6421,0.74683,1.75544,0.80094,0.000470145,0.000470145,0.000470145
46,4672.76,0.76395,1.04832,1.41047,0.88132,0.2958,0.63443,0.35027,0.29935,0.2958,0.63443,0.35027,0.20543,0.64398,0.75066,1.86862,0.80111,0.000461898,0.000461898,0.000461898
47,5182.72,0.78619,1.01413,1.39638,0.89489,0.30346,0.64883,0.3749,0.31896,0.30346,0.64883,0.3749,0.21432,0.64041,0.76755,1.76214,0.79989,0.000453652,0.000453652,0.000453652
48,5689.94,0.77156,1.04895,1.38746,0.87822,0.32904,0.63757,0.39242,0.3363,0.32904,0.63757,0.39232,0.22785,0.63248,0.75772,1.71208,0.79933,0.000445405,0.000445405,0.000445405
49,6201.22,0.78902,1.02063,1.38185,0.88145,0.32216,0.6363,0.40286,0.34396,0.32216,0.6363,0.40286,0.24049,0.6325,0.75023,1.71679,0.79937,0.000437158,0.000437158,0.000437158
50,6710.07,0.7796,1.00324,1.35571,0.8877,0.30749,0.62552,0.38476,0.32879,0.30749,0.62552,0.38476,0.21982,0.64441,0.7576,1.83174,0.79937,0.000428912,0.000428912,0.000428912
51,7223.74,0.7906,0.98551,1.35863,0.89146,0.32005,0.64218,0.39583,0.33342,0.32005,0.64218,0.39583,0.23654,0.64348,0.74655,1.852,0.7996,0.000420665,0.000420665,0.000420665
52,7744.31,0.78092,0.99927,1.40503,0.88973,0.33918,0.62806,0.41387,0.34905,0.33918,0.62806,0.41387,0.24771,0.63988,0.75205,1.77592,0.79953,0.000412418,0.000412418,0.000412418
53,8254,0.77646,0.98474,1.375,0.89133,0.3053,0.6438,0.37226,0.31803,0.3053,0.6438,0.37226,0.22012,0.63967,0.75086,1.84189,0.80008,0.000404172,0.000404172,0.000404172
54,8763.2,0.76736,1.01336,1.36688,0.88015,0.29612,0.61941,0.37652,0.31698,0.29612,0.61941,0.37652,0.21636,0.64377,0.74313,1.77919,0.80015,0.000395925,0.000395925,0.000395925
55,9268.91,0.75766,0.97267,1.32194,0.88057,0.3071,0.62938,0.38655,0.33037,0.3071,0.62938,0.38655,0.22996,0.63129,0.74548,1.74495,0.79842,0.000387678,0.000387678,0.000387678
56,9777.32,0.78175,1.02325,1.35325,0.88962,0.31982,0.63899,0.42661,0.35979,0.31982,0.63899,0.42661,0.25996,0.64405,0.76155,1.77365,0.80016,0.000379431,0.000379431,0.000379431
57,10287.9,0.75975,0.96714,1.33317,0.88336,0.3078,0.63498,0.39797,0.33816,0.3078,0.63498,0.39797,0.23515,0.63441,0.75696,1.74565,0.79977,0.000371185,0.000371185,0.000371185
58,10798.2,0.77946,0.97646,1.30079,0.87961,0.30758,0.63038,0.41935,0.35566,0.30758,0.63038,0.41935,0.24604,0.63614,0.75543,1.72691,0.79965,0.000362938,0.000362938,0.000362938
59,11317.4,0.77245,1.00836,1.3287,0.88294,0.31935,0.64641,0.3982,0.34114,0.31935,0.64641,0.3982,0.22389,0.6338,0.73533,1.74094,0.79984,0.000354691,0.000354691,0.000354691
60,11829,0.75561,0.98232,1.30387,0.87748,0.31833,0.63676,0.39574,0.33704,0.31833,0.63676,0.39574,0.23388,0.6357,0.75252,1.75873,0.79997,0.000346445,0.000346445,0.000346445
61,12344.5,0.75668,0.95862,1.30275,0.88258,0.29717,0.63089,0.38992,0.33015,0.29717,0.63089,0.38992,0.22833,0.64158,0.73418,1.75406,0.80091,0.000338198,0.000338198,0.000338198
62,12854.4,0.75265,0.958,1.2886,0.87872,0.30429,0.62862,0.42022,0.35978,0.30429,0.62862,0.42022,0.24977,0.64063,0.7491,1.72763,0.79947,0.000329951,0.000329951,0.000329951
63,13366.9,0.74615,0.94602,1.29731,0.87713,0.30578,0.60268,0.38052,0.3232,0.30578,0.60268,0.38052,0.21909,0.64001,0.73911,1.87532,0.79954,0.000321705,0.000321705,0.000321705
64,13880.3,0.75544,0.98185,1.30993,0.87716,0.28658,0.61947,0.37595,0.31901,0.28658,0.61947,0.37595,0.22265,0.6343,0.74577,1.73566,0.79994,0.000313458,0.000313458,0.000313458
65,14389.5,0.75235,0.99074,1.28943,0.87531,0.32015,0.61484,0.39245,0.33608,0.32015,0.61484,0.39245,0.23405,0.6285,0.74875,1.78692,0.79941,0.000305211,0.000305211,0.000305211
66,14915,0.75383,0.96281,1.31221,0.87602,0.32235,0.6113,0.38433,0.32997,0.32235,0.6113,0.38433,0.22659,0.63036,0.73267,1.77775,0.799,0.000296964,0.000296964,0.000296964
67,15428,0.75691,0.96033,1.29715,0.88494,0.33185,0.63232,0.40028,0.34173,0.33185,0.63232,0.40028,0.23221,0.6362,0.73785,1.77267,0.80006,0.000288718,0.000288718,0.000288718
68,15946.2,0.75083,0.9567,1.2779,0.88139,0.33145,0.62861,0.39115,0.33287,0.33145,0.62861,0.39115,0.22403,0.63471,0.7473,1.78122,0.80003,0.000280471,0.000280471,0.000280471
69,16462,0.75237,0.953,1.26302,0.86737,0.32387,0.61815,0.40105,0.34174,0.32387,0.61815,0.40105,0.23195,0.63591,0.73837,1.70777,0.79993,0.000272224,0.000272224,0.000272224
70,16976.3,0.75001,0.9654,1.31685,0.8776,0.35168,0.60903,0.38715,0.33014,0.35168,0.60903,0.38715,0.22789,0.63451,0.73422,1.77656,0.79839,0.000263978,0.000263978,0.000263978
